"Kueri Baseline";"Kueri Refactored";"Pola Properti Awal";"Pola Properti Baru";"Persentase Pengurangan";"Jumlah Hasil";"DBHits";"Running Time"
"MATCH (n2:soundtrack)-[:COMPOSED]->(n3:documentary), (n2:music_department)-[:ACTED_IN]->(n1:documentary) WHERE (n1.category=""movie"" AND n2.birth=1945) OR (n1.year=1992 AND n3.year=1988) OR (n2.death=0 AND n2.name=""Eric Clapton"") RETURN count(n1)";"CALL () {
  MATCH (n2:soundtrack:birth_1945)-[:COMPOSED]->(n3:documentary), (n2:music_department:birth_1945)-[:ACTED_IN]->(n1:documentary:movie)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n2:soundtrack)-[:COMPOSED]->(n3:documentary:year_1988), (n2:music_department)-[:ACTED_IN]->(n1:documentary:year_1992)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n2:soundtrack:death_0)-[:COMPOSED]->(n3:documentary), (n2:music_department:death_0)-[:ACTED_IN]->(n1:documentary)
  WHERE n2.name=""Eric Clapton""
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n2:soundtrack:birth_1945)-[:COMPOSED]->(n3:documentary:year_1988), (n2:music_department:birth_1945)-[:ACTED_IN]->(n1:documentary:movie:year_1992)
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n2:soundtrack:birth_1945:death_0)-[:COMPOSED]->(n3:documentary), (n2:music_department:birth_1945:death_0)-[:ACTED_IN]->(n1:documentary:movie)
  WHERE n2.name=""Eric Clapton""
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n2:soundtrack:death_0)-[:COMPOSED]->(n3:documentary:year_1988), (n2:music_department:death_0)-[:ACTED_IN]->(n1:documentary:year_1992)
  WHERE n2.name=""Eric Clapton""
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n2:soundtrack:birth_1945:death_0)-[:COMPOSED]->(n3:documentary:year_1988), (n2:music_department:birth_1945:death_0)-[:ACTED_IN]->(n1:documentary:movie:year_1992)
  WHERE n2.name=""Eric Clapton""
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";"(A AND B) OR (C AND D) OR (E AND F)";"A";"83%";"195";"206452";"260.5"
"MATCH (n3:director)-[:ACTED_IN]->(n2:game_show), (n3:writer)-[:ACTED_IN]->(n1:action) WHERE (n1.category=""tvMiniSeries"" AND n3.name=""Al Ashton"") OR (n3.birth=1957 AND n1.year=2002) OR (n3.death=2007 AND n2.year=2001) RETURN count(n1)";"CALL () {
  MATCH (n3:director)-[:ACTED_IN]->(n2:game_show), (n3:writer)-[:ACTED_IN]->(n1:action:tvMiniSeries)
  WHERE n3.name=""Al Ashton""
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n3:director:birth_1957)-[:ACTED_IN]->(n2:game_show), (n3:writer:birth_1957)-[:ACTED_IN]->(n1:action:year_2002)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n3:director:death_2007)-[:ACTED_IN]->(n2:game_show:year_2001), (n3:writer:death_2007)-[:ACTED_IN]->(n1:action)
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n3:director:birth_1957)-[:ACTED_IN]->(n2:game_show), (n3:writer:birth_1957)-[:ACTED_IN]->(n1:action:tvMiniSeries:year_2002)
  WHERE n3.name=""Al Ashton""
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n3:director:death_2007)-[:ACTED_IN]->(n2:game_show:year_2001), (n3:writer:death_2007)-[:ACTED_IN]->(n1:action:tvMiniSeries)
  WHERE n3.name=""Al Ashton""
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n3:director:birth_1957:death_2007)-[:ACTED_IN]->(n2:game_show:year_2001), (n3:writer:birth_1957:death_2007)-[:ACTED_IN]->(n1:action:year_2002)
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n3:director:birth_1957:death_2007)-[:ACTED_IN]->(n2:game_show:year_2001), (n3:writer:birth_1957:death_2007)-[:ACTED_IN]->(n1:action:tvMiniSeries:year_2002)
  WHERE n3.name=""Al Ashton""
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";"(A AND B) OR (C AND D) OR (E AND F)";"A";"83%";"2";"143833";"134.5"
"MATCH (n4:actress)-[:ACTED_IN]->(n2:film_noir), (n4:actress)-[:ACTED_IN]->(n1:musical), (n4:actress)-[:ACTED_IN]->(n3:comedy) WHERE (n1.year=1967 AND n2.category=""movie"") OR (n1.category=""tvSpecial"" AND n4.name=""Anne Bancroft"") OR (n3.year=1992 AND n4.death=2005) RETURN count(n1)";"CALL () {
  MATCH (n4:actress)-[:ACTED_IN]->(n2:film_noir:movie), (n4:actress)-[:ACTED_IN]->(n1:musical:year_1967), (n4:actress)-[:ACTED_IN]->(n3:comedy)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n4:actress)-[:ACTED_IN]->(n2:film_noir), (n4:actress)-[:ACTED_IN]->(n1:musical:tvSpecial), (n4:actress)-[:ACTED_IN]->(n3:comedy)
  WHERE n4.name=""Anne Bancroft""
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n4:actress:death_2005)-[:ACTED_IN]->(n2:film_noir), (n4:actress:death_2005)-[:ACTED_IN]->(n1:musical), (n4:actress:death_2005)-[:ACTED_IN]->(n3:comedy:year_1992)
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n4:actress)-[:ACTED_IN]->(n2:film_noir:movie), (n4:actress)-[:ACTED_IN]->(n1:musical:year_1967:tvSpecial), (n4:actress)-[:ACTED_IN]->(n3:comedy)
  WHERE n4.name=""Anne Bancroft""
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n4:actress:death_2005)-[:ACTED_IN]->(n2:film_noir:movie), (n4:actress:death_2005)-[:ACTED_IN]->(n1:musical:year_1967), (n4:actress:death_2005)-[:ACTED_IN]->(n3:comedy:year_1992)
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n4:actress:death_2005)-[:ACTED_IN]->(n2:film_noir), (n4:actress:death_2005)-[:ACTED_IN]->(n1:musical:tvSpecial), (n4:actress:death_2005)-[:ACTED_IN]->(n3:comedy:year_1992)
  WHERE n4.name=""Anne Bancroft""
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n4:actress:death_2005)-[:ACTED_IN]->(n2:film_noir:movie), (n4:actress:death_2005)-[:ACTED_IN]->(n1:musical:year_1967:tvSpecial), (n4:actress:death_2005)-[:ACTED_IN]->(n3:comedy:year_1992)
  WHERE n4.name=""Anne Bancroft""
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";"(A AND B) OR (C AND D) OR (E AND F)";"A";"83%";"3774";"574229";"258.3"
"MATCH (n1:writer)-[:EDITED]->(n2:drama), (n1:editor)-[:WROTE]->(n4:thriller), (n1:assistant_director)-[:EDITED]->(n3:drama) WHERE (n4.category=""movie"" AND n3.year=2015) OR (n1.birth=1957 AND n1.death=0) OR (n4.year=2000 AND n2.year=2019) RETURN count(n1)";"CALL () {
  MATCH (n1:writer)-[:EDITED]->(n2:drama), (n1:editor)-[:WROTE]->(n4:thriller:movie), (n1:assistant_director)-[:EDITED]->(n3:drama:year_2015)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n1:writer:birth_1957:death_0)-[:EDITED]->(n2:drama), (n1:editor:birth_1957:death_0)-[:WROTE]->(n4:thriller), (n1:assistant_director:birth_1957:death_0)-[:EDITED]->(n3:drama)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n1:writer)-[:EDITED]->(n2:drama:year_2019), (n1:editor)-[:WROTE]->(n4:thriller:year_2000), (n1:assistant_director)-[:EDITED]->(n3:drama)
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n1:writer:birth_1957:death_0)-[:EDITED]->(n2:drama), (n1:editor:birth_1957:death_0)-[:WROTE]->(n4:thriller:movie), (n1:assistant_director:birth_1957:death_0)-[:EDITED]->(n3:drama:year_2015)
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n1:writer)-[:EDITED]->(n2:drama:year_2019), (n1:editor)-[:WROTE]->(n4:thriller:movie:year_2000), (n1:assistant_director)-[:EDITED]->(n3:drama:year_2015)
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n1:writer:birth_1957:death_0)-[:EDITED]->(n2:drama:year_2019), (n1:editor:birth_1957:death_0)-[:WROTE]->(n4:thriller:year_2000), (n1:assistant_director:birth_1957:death_0)-[:EDITED]->(n3:drama)
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n1:writer:birth_1957:death_0)-[:EDITED]->(n2:drama:year_2019), (n1:editor:birth_1957:death_0)-[:WROTE]->(n4:thriller:movie:year_2000), (n1:assistant_director:birth_1957:death_0)-[:EDITED]->(n3:drama:year_2015)
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";"(A AND B) OR (C AND D) OR (E AND F)";"-";"100%";"72";"276383";"178.7"
"MATCH (n1:cinematographer)-[:CINEMATOGRAPHER_OF]->(n3:thriller), (n1:assistant_director)-[:CINEMATOGRAPHER_OF]->(n2:family), (n1:cinematographer)-[:CINEMATOGRAPHER_OF]->(n4:romance) WHERE (n4.category=""movie"" AND n3.category=""movie"") OR (n3.year=2000 AND n4.year=2005) OR (n1.name=""Stephen Treadway"" AND n2.year=2015) RETURN count(n1)";"CALL () {
  MATCH (n1:cinematographer)-[:CINEMATOGRAPHER_OF]->(n3:thriller:movie), (n1:assistant_director)-[:CINEMATOGRAPHER_OF]->(n2:family), (n1:cinematographer)-[:CINEMATOGRAPHER_OF]->(n4:romance:movie)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n1:cinematographer)-[:CINEMATOGRAPHER_OF]->(n3:thriller:year_2000), (n1:assistant_director)-[:CINEMATOGRAPHER_OF]->(n2:family), (n1:cinematographer)-[:CINEMATOGRAPHER_OF]->(n4:romance:year_2005)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n1:cinematographer)-[:CINEMATOGRAPHER_OF]->(n3:thriller), (n1:assistant_director)-[:CINEMATOGRAPHER_OF]->(n2:family:year_2015), (n1:cinematographer)-[:CINEMATOGRAPHER_OF]->(n4:romance)
  WHERE n1.name=""Stephen Treadway""
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n1:cinematographer)-[:CINEMATOGRAPHER_OF]->(n3:thriller:movie:year_2000), (n1:assistant_director)-[:CINEMATOGRAPHER_OF]->(n2:family), (n1:cinematographer)-[:CINEMATOGRAPHER_OF]->(n4:romance:movie:year_2005)
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n1:cinematographer)-[:CINEMATOGRAPHER_OF]->(n3:thriller:movie), (n1:assistant_director)-[:CINEMATOGRAPHER_OF]->(n2:family:year_2015), (n1:cinematographer)-[:CINEMATOGRAPHER_OF]->(n4:romance:movie)
  WHERE n1.name=""Stephen Treadway""
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n1:cinematographer)-[:CINEMATOGRAPHER_OF]->(n3:thriller:year_2000), (n1:assistant_director)-[:CINEMATOGRAPHER_OF]->(n2:family:year_2015), (n1:cinematographer)-[:CINEMATOGRAPHER_OF]->(n4:romance:year_2005)
  WHERE n1.name=""Stephen Treadway""
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n1:cinematographer)-[:CINEMATOGRAPHER_OF]->(n3:thriller:movie:year_2000), (n1:assistant_director)-[:CINEMATOGRAPHER_OF]->(n2:family:year_2015), (n1:cinematographer)-[:CINEMATOGRAPHER_OF]->(n4:romance:movie:year_2005)
  WHERE n1.name=""Stephen Treadway""
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";"(A AND B) OR (C AND D) OR (E AND F)";"A";"83%";"3027";"1185983";"974.8"
"MATCH (n4:music_department)-[:COMPOSED]->(n2:comedy), (n4:soundtrack)-[:COMPOSED]->(n1:comedy), (n4:composer)-[:COMPOSED]->(n3:comedy) WHERE (n4.death=1985 AND n4.name=""Mischa Spoliansky"") OR (n1.year=1953 AND n2.category=""movie"") OR (n2.year=1950 AND n3.year=1950) RETURN count(n1)";"CALL () {
  MATCH (n4:music_department:death_1985)-[:COMPOSED]->(n2:comedy), (n4:soundtrack:death_1985)-[:COMPOSED]->(n1:comedy), (n4:composer:death_1985)-[:COMPOSED]->(n3:comedy)
  WHERE n4.name=""Mischa Spoliansky""
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n4:music_department)-[:COMPOSED]->(n2:comedy:movie), (n4:soundtrack)-[:COMPOSED]->(n1:comedy:year_1953), (n4:composer)-[:COMPOSED]->(n3:comedy)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n4:music_department)-[:COMPOSED]->(n2:comedy:year_1950), (n4:soundtrack)-[:COMPOSED]->(n1:comedy), (n4:composer)-[:COMPOSED]->(n3:comedy:year_1950)
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n4:music_department:death_1985)-[:COMPOSED]->(n2:comedy:movie), (n4:soundtrack:death_1985)-[:COMPOSED]->(n1:comedy:year_1953), (n4:composer:death_1985)-[:COMPOSED]->(n3:comedy)
  WHERE n4.name=""Mischa Spoliansky""
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n4:music_department:death_1985)-[:COMPOSED]->(n2:comedy:year_1950), (n4:soundtrack:death_1985)-[:COMPOSED]->(n1:comedy), (n4:composer:death_1985)-[:COMPOSED]->(n3:comedy:year_1950)
  WHERE n4.name=""Mischa Spoliansky""
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n4:music_department)-[:COMPOSED]->(n2:comedy:movie:year_1950), (n4:soundtrack)-[:COMPOSED]->(n1:comedy:year_1953), (n4:composer)-[:COMPOSED]->(n3:comedy:year_1950)
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n4:music_department:death_1985)-[:COMPOSED]->(n2:comedy:movie:year_1950), (n4:soundtrack:death_1985)-[:COMPOSED]->(n1:comedy:year_1953), (n4:composer:death_1985)-[:COMPOSED]->(n3:comedy:year_1950)
  WHERE n4.name=""Mischa Spoliansky""
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";"(A AND B) OR (C AND D) OR (E AND F)";"A";"83%";"1101925";"7214151";"889.7"
"MATCH (n2:producer)-[:ACTED_IN]->(n4:comedy), (n2:producer)-[:ACTED_IN]->(n3:music), (n2:actress)-[:ACTED_IN]->(n1:comedy) WHERE (n1.year=2001 AND n3.year=1994) OR (n3.category=""video"" AND n1.category=""tvMovie"") OR (n4.year=1997 AND n2.birth=1963) RETURN count(n1)";"CALL () {
  MATCH (n2:producer)-[:ACTED_IN]->(n4:comedy), (n2:producer)-[:ACTED_IN]->(n3:music:year_1994), (n2:actress)-[:ACTED_IN]->(n1:comedy:year_2001)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n2:producer)-[:ACTED_IN]->(n4:comedy), (n2:producer)-[:ACTED_IN]->(n3:music:video), (n2:actress)-[:ACTED_IN]->(n1:comedy:tvMovie)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n2:producer:birth_1963)-[:ACTED_IN]->(n4:comedy:year_1997), (n2:producer:birth_1963)-[:ACTED_IN]->(n3:music), (n2:actress:birth_1963)-[:ACTED_IN]->(n1:comedy)
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n2:producer)-[:ACTED_IN]->(n4:comedy), (n2:producer)-[:ACTED_IN]->(n3:music:year_1994:video), (n2:actress)-[:ACTED_IN]->(n1:comedy:year_2001:tvMovie)
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n2:producer:birth_1963)-[:ACTED_IN]->(n4:comedy:year_1997), (n2:producer:birth_1963)-[:ACTED_IN]->(n3:music:year_1994), (n2:actress:birth_1963)-[:ACTED_IN]->(n1:comedy:year_2001)
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n2:producer:birth_1963)-[:ACTED_IN]->(n4:comedy:year_1997), (n2:producer:birth_1963)-[:ACTED_IN]->(n3:music:video), (n2:actress:birth_1963)-[:ACTED_IN]->(n1:comedy:tvMovie)
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n2:producer:birth_1963)-[:ACTED_IN]->(n4:comedy:year_1997), (n2:producer:birth_1963)-[:ACTED_IN]->(n3:music:year_1994:video), (n2:actress:birth_1963)-[:ACTED_IN]->(n1:comedy:year_2001:tvMovie)
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";"(A AND B) OR (C AND D) OR (E AND F)";"-";"100%";"4754428";"29922860";"5515.0"
"MATCH (n2:director)-[:PRODUCED]->(n4:drama), (n2:producer)-[:PRODUCED]->(n1:drama), (n2:actor)-[:PRODUCED]->(n3:drama) WHERE (n4.category=""short"" AND n2.birth=1851) OR (n2.death=1923 AND n3.category=""short"") OR (n1.year=1914 AND n3.year=1913) RETURN count(n1)";"CALL () {
  MATCH (n2:director:birth_1851)-[:PRODUCED]->(n4:drama:short), (n2:producer:birth_1851)-[:PRODUCED]->(n1:drama), (n2:actor:birth_1851)-[:PRODUCED]->(n3:drama)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n2:director:death_1923)-[:PRODUCED]->(n4:drama), (n2:producer:death_1923)-[:PRODUCED]->(n1:drama), (n2:actor:death_1923)-[:PRODUCED]->(n3:drama:short)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n2:director)-[:PRODUCED]->(n4:drama), (n2:producer)-[:PRODUCED]->(n1:drama:year_1914), (n2:actor)-[:PRODUCED]->(n3:drama:year_1913)
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n2:director:birth_1851:death_1923)-[:PRODUCED]->(n4:drama:short), (n2:producer:birth_1851:death_1923)-[:PRODUCED]->(n1:drama), (n2:actor:birth_1851:death_1923)-[:PRODUCED]->(n3:drama:short)
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n2:director:birth_1851)-[:PRODUCED]->(n4:drama:short), (n2:producer:birth_1851)-[:PRODUCED]->(n1:drama:year_1914), (n2:actor:birth_1851)-[:PRODUCED]->(n3:drama:year_1913)
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n2:director:death_1923)-[:PRODUCED]->(n4:drama), (n2:producer:death_1923)-[:PRODUCED]->(n1:drama:year_1914), (n2:actor:death_1923)-[:PRODUCED]->(n3:drama:short:year_1913)
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n2:director:birth_1851:death_1923)-[:PRODUCED]->(n4:drama:short), (n2:producer:birth_1851:death_1923)-[:PRODUCED]->(n1:drama:year_1914), (n2:actor:birth_1851:death_1923)-[:PRODUCED]->(n3:drama:short:year_1913)
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";"(A AND B) OR (C AND D) OR (E AND F)";"-";"100%";"TIMEOUT";"TIMEOUT";"TIMEOUT"
"MATCH (n3:writer)-[:ACTED_IN]->(n2:action), (n3:writer)-[:ACTED_IN]->(n4:drama), (n3:actress)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n1:horror) WHERE (n1.category=""video"" AND n3.birth=1919) OR (n4.category=""tvMovie"" AND n3.death=1998) OR (n4.year=1954 AND n1.year=1999) RETURN count(n1)";"CALL () {
  MATCH (n3:writer:birth_1919)-[:ACTED_IN]->(n2:action), (n3:writer:birth_1919)-[:ACTED_IN]->(n4:drama), (n3:actress:birth_1919)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n1:horror:video)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n3:writer:death_1998)-[:ACTED_IN]->(n2:action), (n3:writer:death_1998)-[:ACTED_IN]->(n4:drama:tvMovie), (n3:actress:death_1998)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n1:horror)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n3:writer)-[:ACTED_IN]->(n2:action), (n3:writer)-[:ACTED_IN]->(n4:drama:year_1954), (n3:actress)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n1:horror:year_1999)
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n3:writer:birth_1919:death_1998)-[:ACTED_IN]->(n2:action), (n3:writer:birth_1919:death_1998)-[:ACTED_IN]->(n4:drama:tvMovie), (n3:actress:birth_1919:death_1998)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n1:horror:video)
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n3:writer:birth_1919)-[:ACTED_IN]->(n2:action), (n3:writer:birth_1919)-[:ACTED_IN]->(n4:drama:year_1954), (n3:actress:birth_1919)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n1:horror:video:year_1999)
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n3:writer:death_1998)-[:ACTED_IN]->(n2:action), (n3:writer:death_1998)-[:ACTED_IN]->(n4:drama:tvMovie:year_1954), (n3:actress:death_1998)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n1:horror:year_1999)
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n3:writer:birth_1919:death_1998)-[:ACTED_IN]->(n2:action), (n3:writer:birth_1919:death_1998)-[:ACTED_IN]->(n4:drama:tvMovie:year_1954), (n3:actress:birth_1919:death_1998)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n1:horror:video:year_1999)
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";"(A AND B) OR (C AND D) OR (E AND F)";"-";"100%";"17";"116841";"107.9"
"MATCH (n2:composer)-[:COMPOSED]->(n4:drama), (n2:music_department)-[:COMPOSED]->(n3:crime), (n2:composer)-[:COMPOSED]->(n1:documentary) WHERE (n4.year=1964 AND n2.death=1991) OR (n3.category=""movie"" AND n3.year=1962) OR (n4.category=""movie"" AND n1.year=1960) RETURN count(n1)";"CALL () {
  MATCH (n2:composer:death_1991)-[:COMPOSED]->(n4:drama:year_1964), (n2:music_department:death_1991)-[:COMPOSED]->(n3:crime), (n2:composer:death_1991)-[:COMPOSED]->(n1:documentary)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n2:composer)-[:COMPOSED]->(n4:drama), (n2:music_department)-[:COMPOSED]->(n3:crime:movie:year_1962), (n2:composer)-[:COMPOSED]->(n1:documentary)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n2:composer)-[:COMPOSED]->(n4:drama:movie), (n2:music_department)-[:COMPOSED]->(n3:crime), (n2:composer)-[:COMPOSED]->(n1:documentary:year_1960)
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n2:composer:death_1991)-[:COMPOSED]->(n4:drama:year_1964), (n2:music_department:death_1991)-[:COMPOSED]->(n3:crime:movie:year_1962), (n2:composer:death_1991)-[:COMPOSED]->(n1:documentary)
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n2:composer:death_1991)-[:COMPOSED]->(n4:drama:year_1964:movie), (n2:music_department:death_1991)-[:COMPOSED]->(n3:crime), (n2:composer:death_1991)-[:COMPOSED]->(n1:documentary:year_1960)
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n2:composer)-[:COMPOSED]->(n4:drama:movie), (n2:music_department)-[:COMPOSED]->(n3:crime:movie:year_1962), (n2:composer)-[:COMPOSED]->(n1:documentary:year_1960)
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n2:composer:death_1991)-[:COMPOSED]->(n4:drama:year_1964:movie), (n2:music_department:death_1991)-[:COMPOSED]->(n3:crime:movie:year_1962), (n2:composer:death_1991)-[:COMPOSED]->(n1:documentary:year_1960)
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";"(A AND B) OR (C AND D) OR (E AND F)";"-";"100%";"133260";"2584155";"431.0"
"MATCH (n3:music_department)-[:COMPOSED]->(n2:comedy), (n3:soundtrack)-[:COMPOSED]->(n4:drama), (n3:composer)-[:COMPOSED]->(n1:comedy) WHERE (n2.category=""short"" AND n4.category=""short"") OR (n3.birth=1953 AND n4.year=2013) OR (n1.category=""tvMovie"" AND n3.name=""Stephen Warbeck"") RETURN count(n1)";"CALL () {
  MATCH (n3:music_department)-[:COMPOSED]->(n2:comedy:short), (n3:soundtrack)-[:COMPOSED]->(n4:drama:short), (n3:composer)-[:COMPOSED]->(n1:comedy)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n3:music_department:birth_1953)-[:COMPOSED]->(n2:comedy), (n3:soundtrack:birth_1953)-[:COMPOSED]->(n4:drama:year_2013), (n3:composer:birth_1953)-[:COMPOSED]->(n1:comedy)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n3:music_department)-[:COMPOSED]->(n2:comedy), (n3:soundtrack)-[:COMPOSED]->(n4:drama), (n3:composer)-[:COMPOSED]->(n1:comedy:tvMovie)
  WHERE n3.name=""Stephen Warbeck""
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n3:music_department:birth_1953)-[:COMPOSED]->(n2:comedy:short), (n3:soundtrack:birth_1953)-[:COMPOSED]->(n4:drama:short:year_2013), (n3:composer:birth_1953)-[:COMPOSED]->(n1:comedy)
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n3:music_department)-[:COMPOSED]->(n2:comedy:short), (n3:soundtrack)-[:COMPOSED]->(n4:drama:short), (n3:composer)-[:COMPOSED]->(n1:comedy:tvMovie)
  WHERE n3.name=""Stephen Warbeck""
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n3:music_department:birth_1953)-[:COMPOSED]->(n2:comedy), (n3:soundtrack:birth_1953)-[:COMPOSED]->(n4:drama:year_2013), (n3:composer:birth_1953)-[:COMPOSED]->(n1:comedy:tvMovie)
  WHERE n3.name=""Stephen Warbeck""
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n3:music_department:birth_1953)-[:COMPOSED]->(n2:comedy:short), (n3:soundtrack:birth_1953)-[:COMPOSED]->(n4:drama:short:year_2013), (n3:composer:birth_1953)-[:COMPOSED]->(n1:comedy:tvMovie)
  WHERE n3.name=""Stephen Warbeck""
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";"(A AND B) OR (C AND D) OR (E AND F)";"A";"83%";"TIMEOUT";"TIMEOUT";"TIMEOUT"
"MATCH (n3:actor)-[:ACTED_IN]->(n2:thriller), (n3:actor)-[:ACTED_IN]->(n1:drama) WHERE (n2.year=1988 AND n3.birth=1922 AND n1.category=""tvSeries"") OR (n3.death=1992 AND n2.category=""tvMiniSeries"" AND n3.name=""Denholm Elliott"") RETURN count(n1)";"CALL () {
  MATCH (n3:actor:birth_1922)-[:ACTED_IN]->(n2:thriller:year_1988), (n3:actor:birth_1922)-[:ACTED_IN]->(n1:drama:tvSeries)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n3:actor:death_1992)-[:ACTED_IN]->(n2:thriller:tvMiniSeries), (n3:actor:death_1992)-[:ACTED_IN]->(n1:drama)
  WHERE n3.name=""Denholm Elliott""
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n3:actor:birth_1922:death_1992)-[:ACTED_IN]->(n2:thriller:year_1988:tvMiniSeries), (n3:actor:birth_1922:death_1992)-[:ACTED_IN]->(n1:drama:tvSeries)
  WHERE n3.name=""Denholm Elliott""
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"(A AND B AND C) OR (D AND E AND F)";"A";"83%";"321";"163871";"220.6"
