"Kueri Asal";"Kueri Refactored";"Pola Properti Awal";"Pola Properti Baru";"Persentase Pengurangan";"Jumlah Hasil";"DBHits";"Running Time"
"MATCH (n3:soundtrack)-[:ACTED_IN]->(n2:drama), (n3:soundtrack)-[:ACTED_IN]->(n1:comedy) WHERE (n1.category=""movie"" AND n3.death=1976 AND n2.category=""movie"") RETURN count(n1)";"MATCH (n3:soundtrack:death_1976)-[:ACTED_IN]->(n2:drama:movie), (n3:soundtrack:death_1976)-[:ACTED_IN]->(n1:comedy:movie) RETURN count(n1)";"A AND B AND C";"-";"100%";"7306";"20003372";"2108.6"
"MATCH (n2:soundtrack)-[:ACTED_IN]->(n3:documentary), (n2:producer)-[:ACTED_IN]->(n1:drama) WHERE (n3.category=""video"" AND n1.category=""movie"" AND n2.name=""Kevin Costner"") RETURN count(n1)";"MATCH (n2:soundtrack)-[:ACTED_IN]->(n3:documentary:video), (n2:producer)-[:ACTED_IN]->(n1:drama:movie) WHERE (n2.name=""Kevin Costner"") RETURN count(n1)";"A AND B AND C";"A";"67%";"858";"20359538";"2433.2"
"MATCH (n2:visual_effects)-[:ACTED_IN]->(n1:comedy), (n2:visual_effects)-[:ACTED_IN]->(n3:thriller), (n2:actor)-[:ACTED_IN]->(n4:comedy) WHERE (n3.category=""short"" AND n2.name=""Steven Allen"" AND n1.category=""short"") RETURN count(n1)";"MATCH (n2:visual_effects)-[:ACTED_IN]->(n1:comedy:short), (n2:visual_effects)-[:ACTED_IN]->(n3:thriller:short), (n2:actor)-[:ACTED_IN]->(n4:comedy) WHERE (n2.name=""Steven Allen"") RETURN count(n1)";"A AND B AND C";"A";"67%";"42";"20234004";"2527.8"
"MATCH (n3:cinematographer)-[:CINEMATOGRAPHER_OF]->(n1:drama), (n3:cinematographer)-[:CINEMATOGRAPHER_OF]->(n4:thriller), (n3:camera_department)-[:CINEMATOGRAPHER_OF]->(n2:crime) WHERE (n1.category=""movie"" AND n3.name=""Ellsworth Fredericks"" AND n4.category=""movie"") RETURN count(n1)";"MATCH (n3:cinematographer)-[:CINEMATOGRAPHER_OF]->(n1:drama:movie), (n3:cinematographer)-[:CINEMATOGRAPHER_OF]->(n4:thriller:movie), (n3:camera_department)-[:CINEMATOGRAPHER_OF]->(n2:crime) WHERE (n3.name=""Ellsworth Fredericks"") RETURN count(n1)";"A AND B AND C";"A";"67%";"474";"20151264";"2622.6"
"MATCH (n3:producer)-[:EDITED]->(n1:documentary), (n3:editor)-[:EDITED]->(n2:documentary) WHERE (n1.category=""movie"" AND n1.year=2010 AND n2.category=""video"") RETURN count(n1)";"MATCH (n3:producer)-[:EDITED]->(n1:documentary:movie:year_2010), (n3:editor)-[:EDITED]->(n2:documentary:video) RETURN count(n1)";"A AND B AND C";"-";"100%";"169";"20566087";"2271.6"
"MATCH (n1:actor)-[:ACTED_IN]->(n2:drama), (n1:actor)-[:ACTED_IN]->(n3:news) WHERE (n3.category=""video"" AND n2.category=""movie"" AND n2.year=1974) RETURN count(n1)";"MATCH (n1:actor)-[:ACTED_IN]->(n2:drama:movie:year_1974), (n1:actor)-[:ACTED_IN]->(n3:news:video) RETURN count(n1)";"A AND B AND C";"-";"100%";"11";"21204831";"2382.7"
"MATCH (n1:actress)-[:ACTED_IN]->(n3:comedy), (n1:actress)-[:ACTED_IN]->(n2:comedy), (n1:actress)-[:ACTED_IN]->(n4:comedy) WHERE (n3.year=1976 AND n2.category=""movie"" AND n3.category=""movie"") RETURN count(n1)";"MATCH (n1:actress)-[:ACTED_IN]->(n3:comedy:year_1976:movie), (n1:actress)-[:ACTED_IN]->(n2:comedy:movie), (n1:actress)-[:ACTED_IN]->(n4:comedy) RETURN count(n1)";"A AND B AND C";"-";"100%";"596043";"61645183";"21488.4"
"MATCH (n3:producer)-[:ACTED_IN]->(n1:drama), (n3:director)-[:ACTED_IN]->(n2:drama) WHERE (n3.death=0 AND n1.category=""movie"" AND n2.year=1988) RETURN count(n1)";"MATCH (n3:producer:death_0)-[:ACTED_IN]->(n1:drama:movie), (n3:director:death_0)-[:ACTED_IN]->(n2:drama:year_1988) RETURN count(n1)";"A AND B AND C";"-";"100%";"22066";"26177768";"3530.9"
"MATCH (n1:actress)-[:ACTED_IN]->(n3:drama), (n1:actress)-[:ACTED_IN]->(n2:mystery) WHERE (n3.year=2010 AND n1.death=0 AND n2.category=""movie"") RETURN count(n1)";"MATCH (n1:actress:death_0)-[:ACTED_IN]->(n3:drama:year_2010), (n1:actress:death_0)-[:ACTED_IN]->(n2:mystery:movie) RETURN count(n1)";"A AND B AND C";"-";"100%";"19918";"23847798";"5023.6"
"MATCH (n3:actor)-[:DIRECTED]->(n2:drama), (n3:actor)-[:DIRECTED]->(n1:drama) WHERE (n2.year=1973 AND n3.name=""Hasan El-Emam"" AND n2.category=""movie"") RETURN count(n1)";"MATCH (n3:actor)-[:DIRECTED]->(n2:drama:year_1973:movie), (n3:actor)-[:DIRECTED]->(n1:drama) WHERE (n3.name=""Hasan El-Emam"") RETURN count(n1)";"A AND B AND C";"A";"67%";"82";"26896020";"6105.0"
"MATCH (n1:actress)-[:ACTED_IN]->(n2:drama), (n1:actress)-[:ACTED_IN]->(n3:drama) WHERE (n3.category=""tvMovie"" AND n3.year=1962 AND n2.year=1958) RETURN count(n1)";"MATCH (n1:actress)-[:ACTED_IN]->(n2:drama:year_1958), (n1:actress)-[:ACTED_IN]->(n3:drama:tvMovie:year_1962) RETURN count(n1)";"A AND B AND C";"-";"100%";"377";"24137729";"3024.4"
